Topic: 0
italian : 0.270170332538
good : 0.140081627501
restaurant : 0.109556794298
great : 0.108301175363
sauce : 0.0827019864671
just : 0.0790099942823
nice : 0.0665437356355
menu : 0.0615036799697
food : 0.0573110288247
service : 0.0248196451208
Topic: 1
menu : 0.25476242359
restaurant : 0.223113939786
service : 0.141064130746
great : 0.13791387174
food : 0.0922555291749
italian : 0.0641051548531
nice : 0.0420039195374
good : 0.0262136950966
sauce : 0.0129231593436
just : 0.00564417613298
Topic: 2
nice : 0.278032727388
good : 0.134575221881
service : 0.128954117525
just : 0.107143877235
great : 0.106150779155
menu : 0.084520646244
restaurant : 0.0624110290492
food : 0.0619397926262
italian : 0.0288727782427
sauce : 0.0073990306535
Topic: 3
sauce : 0.354191643761
food : 0.194981098036
good : 0.134399957052
service : 0.0774762689172
nice : 0.0716305877448
great : 0.0512706762101
italian : 0.0407771524541
just : 0.0391019909554
menu : 0.0300934496312
restaurant : 0.00607717523869
Topic: 4
good : 0.267449428403
just : 0.174378925626
great : 0.155136409613
food : 0.136264848468
italian : 0.114736249497
service : 0.0565949145517
restaurant : 0.0422318168168
nice : 0.0335287202469
menu : 0.0118849945273
sauce : 0.00779369225048
